Z-1-А;Z-1-Б;Z-2-А;Z-2-Б;Z-3-А;Z-3-Б;Z-4-А;Z-4-Б;Z-5-А;Z-5-Б;Z-6-А;Z-6-Б;Z-7-А;Z-7-Б;Z-8-А;Z-8-Б;Z-9-А;Z-9-Б;Z-10-А;Z-10-Б;Z-11-А;Z-11-Б;Z-12-А;Z-12-Б;Z-13-А;Z-13-Б;Z-14-А;Z-14-Б;Z-15-А;Z-15-Б;Z-16-А;Z-16-Б;Z-17-А;Z-17-Б;Z-18-А;Z-18-Б;Z-19-А;Z-19-Б;Z-20-А;Z-20-Б;Z-21-А;Z-21-Б;Z-22-А;Z-22-Б;Z-23-А;Z-23-Б;Z-24-А;Z-24-Б;Z-25-А;Z-25-Б;Z-26-А;Z-26-Б;Z-27-А;Z-27-Б;Z-28-А;Z-28-Б;Z-29-А;Z-29-Б;Z-30-А;Z-30-Б;Z-31-А;Z-31-Б;Z-32-А;Z-32-Б;Z-33-А;Z-33-Б;Z-34-А;Z-34-Б;Z-35-А;Z-35-Б;Z-36-А;Z-36-Б;Z-37-А;Z-37-Б;Z-38-А;Z-38-Б;Z-39-А;Z-39-Б;Z-40-А;Z-40-Б;Z-41-А;Z-41-Б;Z-42-А;Z-42-Б;Z-43-А;Z-43-Б;Z-44-А;Z-44-Б;Z-45-А;Z-45-Б;Z-46-А;Z-46-Б;Z-47-А;Z-47-Б;Z-48-А;Z-48-Б;Z-49-А;Z-49-Б;Z-50-А;Z-50-Б;Z-51-А;Z-51-Б;Z-52-А;Z-52-Б;Z-53-А;Z-53-Б;Z-54-А;Z-54-Б;Z-55-А;Z-55-Б;Z-56-А;Z-56-Б;Z-57-А;Z-57-Б;Z-58-А;Z-58-Б;Z-59-А;Z-59-Б;Z-60-А;Z-60-Б
R-1-В;R-1-Г;R-2-В;R-2-Г;R-3-В;R-3-Г;R-4-В;R-4-Г;R-5-В;R-5-Г;R-6-В;R-6-Г;R-7-В;R-7-Г;R-8-В;R-8-Г;R-9-В;R-9-Г;R-10-В;R-10-Г;R-11-В;R-11-Г;R-12-В;R-12-Г;R-13-В;R-13-Г;R-14-В;R-14-Г;R-15-В;R-15-Г;R-16-В;R-16-Г;R-17-В;R-17-Г;R-18-В;R-18-Г;R-19-В;R-19-Г;R-20-В;R-20-Г;R-21-В;R-21-Г;R-22-В;R-22-Г;R-23-В;R-23-Г;R-24-В;R-24-Г;R-25-В;R-25-Г;R-26-В;R-26-Г;R-27-В;R-27-Г;R-28-В;R-28-Г;R-29-В;R-29-Г;R-30-В;R-30-Г;R-31-В;R-31-Г;R-32-В;R-32-Г;R-33-В;R-33-Г;R-34-В;R-34-Г;R-35-В;R-35-Г;R-36-В;R-36-Г;R-37-В;R-37-Г;R-38-В;R-38-Г;R-39-В;R-39-Г;R-40-В;R-40-Г;R-41-В;R-41-Г;R-42-В;R-42-Г;R-43-В;R-43-Г;R-44-В;R-44-Г;R-45-В;R-45-Г;R-46-В;R-46-Г;R-47-В;R-47-Г;R-48-В;R-48-Г;R-49-В;R-49-Г;R-50-В;R-50-Г;R-51-В;R-51-Г;R-52-В;R-52-Г;R-53-В;R-53-Г;R-54-В;R-54-Г;R-55-В;R-55-Г;R-56-В;R-56-Г;R-57-В;R-57-Г;R-58-В;R-58-Г;R-59-В;R-59-Г;R-60-В;R-60-Г
Q-1-А;Q-1-Б;Q-2-А;Q-2-Б;Q-3-А;Q-3-Б;Q-4-А;Q-4-Б;Q-5-А;Q-5-Б;Q-6-А;Q-6-Б;Q-7-А;Q-7-Б;Q-8-А;Q-8-Б;Q-9-А;Q-9-Б;Q-10-А;Q-10-Б;Q-11-А;Q-11-Б;Q-12-А;Q-12-Б;Q-13-А;Q-13-Б;Q-14-А;Q-14-Б;Q-15-А;Q-15-Б;Q-16-А;Q-16-Б;Q-17-А;Q-17-Б;Q-18-А;Q-18-Б;Q-19-А;Q-19-Б;Q-20-А;Q-20-Б;Q-21-А;Q-21-Б;Q-22-А;Q-22-Б;Q-23-А;Q-23-Б;Q-24-А;Q-24-Б;Q-25-А;Q-25-Б;Q-26-А;Q-26-Б;Q-27-А;Q-27-Б;Q-28-А;Q-28-Б;Q-29-А;Q-29-Б;Q-30-А;Q-30-Б;Q-31-А;Q-31-Б;Q-32-А;Q-32-Б;Q-33-А;Q-33-Б;Q-34-А;Q-34-Б;Q-35-А;Q-35-Б;Q-36-А;Q-36-Б;Q-37-А;Q-37-Б;Q-38-А;Q-38-Б;Q-39-А;Q-39-Б;Q-40-А;Q-40-Б;Q-41-А;Q-41-Б;Q-42-А;Q-42-Б;Q-43-А;Q-43-Б;Q-44-А;Q-44-Б;Q-45-А;Q-45-Б;Q-46-А;Q-46-Б;Q-47-А;Q-47-Б;Q-48-А;Q-48-Б;Q-49-А;Q-49-Б;Q-50-А;Q-50-Б;Q-51-А;Q-51-Б;Q-52-А;Q-52-Б;Q-53-А;Q-53-Б;Q-54-А;Q-54-Б;Q-55-А;Q-55-Б;Q-56-А;Q-56-Б;Q-57-А;Q-57-Б;Q-58-А;Q-58-Б;Q-59-А;Q-59-Б;Q-60-А;Q-60-Б
Q-1-В;Q-1-Г;Q-2-В;Q-2-Г;Q-3-В;Q-3-Г;Q-4-В;Q-4-Г;Q-5-В;Q-5-Г;Q-6-В;Q-6-Г;Q-7-В;Q-7-Г;Q-8-В;Q-8-Г;Q-9-В;Q-9-Г;Q-10-В;Q-10-Г;Q-11-В;Q-11-Г;Q-12-В;Q-12-Г;Q-13-В;Q-13-Г;Q-14-В;Q-14-Г;Q-15-В;Q-15-Г;Q-16-В;Q-16-Г;Q-17-В;Q-17-Г;Q-18-В;Q-18-Г;Q-19-В;Q-19-Г;Q-20-В;Q-20-Г;Q-21-В;Q-21-Г;Q-22-В;Q-22-Г;Q-23-В;Q-23-Г;Q-24-В;Q-24-Г;Q-25-В;Q-25-Г;Q-26-В;Q-26-Г;Q-27-В;Q-27-Г;Q-28-В;Q-28-Г;Q-29-В;Q-29-Г;Q-30-В;Q-30-Г;Q-31-В;Q-31-Г;Q-32-В;Q-32-Г;Q-33-В;Q-33-Г;Q-34-В;Q-34-Г;Q-35-В;Q-35-Г;Q-36-В;Q-36-Г;Q-37-В;Q-37-Г;Q-38-В;Q-38-Г;Q-39-В;Q-39-Г;Q-40-В;Q-40-Г;Q-41-В;Q-41-Г;Q-42-В;Q-42-Г;Q-43-В;Q-43-Г;Q-44-В;Q-44-Г;Q-45-В;Q-45-Г;Q-46-В;Q-46-Г;Q-47-В;Q-47-Г;Q-48-В;Q-48-Г;Q-49-В;Q-49-Г;Q-50-В;Q-50-Г;Q-51-В;Q-51-Г;Q-52-В;Q-52-Г;Q-53-В;Q-53-Г;Q-54-В;Q-54-Г;Q-55-В;Q-55-Г;Q-56-В;Q-56-Г;Q-57-В;Q-57-Г;Q-58-В;Q-58-Г;Q-59-В;Q-59-Г;Q-60-В;Q-60-Г
P-1-А;P-1-Б;P-2-А;P-2-Б;P-3-А;P-3-Б;P-4-А;P-4-Б;P-5-А;P-5-Б;P-6-А;P-6-Б;P-7-А;P-7-Б;P-8-А;P-8-Б;P-9-А;P-9-Б;P-10-А;P-10-Б;P-11-А;P-11-Б;P-12-А;P-12-Б;P-13-А;P-13-Б;P-14-А;P-14-Б;P-15-А;P-15-Б;P-16-А;P-16-Б;P-17-А;P-17-Б;P-18-А;P-18-Б;P-19-А;P-19-Б;P-20-А;P-20-Б;P-21-А;P-21-Б;P-22-А;P-22-Б;P-23-А;P-23-Б;P-24-А;P-24-Б;P-25-А;P-25-Б;P-26-А;P-26-Б;P-27-А;P-27-Б;P-28-А;P-28-Б;P-29-А;P-29-Б;P-30-А;P-30-Б;P-31-А;P-31-Б;P-32-А;P-32-Б;P-33-А;P-33-Б;P-34-А;P-34-Б;P-35-А;P-35-Б;P-36-А;P-36-Б;P-37-А;P-37-Б;P-38-А;P-38-Б;P-39-А;P-39-Б;P-40-А;P-40-Б;P-41-А;P-41-Б;P-42-А;P-42-Б;P-43-А;P-43-Б;P-44-А;P-44-Б;P-45-А;P-45-Б;P-46-А;P-46-Б;P-47-А;P-47-Б;P-48-А;P-48-Б;P-49-А;P-49-Б;P-50-А;P-50-Б;P-51-А;P-51-Б;P-52-А;P-52-Б;P-53-А;P-53-Б;P-54-А;P-54-Б;P-55-А;P-55-Б;P-56-А;P-56-Б;P-57-А;P-57-Б;P-58-А;P-58-Б;P-59-А;P-59-Б;P-60-А;P-60-Б
P-1-В;P-1-Г;P-2-В;P-2-Г;P-3-В;P-3-Г;P-4-В;P-4-Г;P-5-В;P-5-Г;P-6-В;P-6-Г;P-7-В;P-7-Г;P-8-В;P-8-Г;P-9-В;P-9-Г;P-10-В;P-10-Г;P-11-В;P-11-Г;P-12-В;P-12-Г;P-13-В;P-13-Г;P-14-В;P-14-Г;P-15-В;P-15-Г;P-16-В;P-16-Г;P-17-В;P-17-Г;P-18-В;P-18-Г;P-19-В;P-19-Г;P-20-В;P-20-Г;P-21-В;P-21-Г;P-22-В;P-22-Г;P-23-В;P-23-Г;P-24-В;P-24-Г;P-25-В;P-25-Г;P-26-В;P-26-Г;P-27-В;P-27-Г;P-28-В;P-28-Г;P-29-В;P-29-Г;P-30-В;P-30-Г;P-31-В;P-31-Г;P-32-В;P-32-Г;P-33-В;P-33-Г;P-34-В;P-34-Г;P-35-В;P-35-Г;P-36-В;P-36-Г;P-37-В;P-37-Г;P-38-В;P-38-Г;P-39-В;P-39-Г;P-40-В;P-40-Г;P-41-В;P-41-Г;P-42-В;P-42-Г;P-43-В;P-43-Г;P-44-В;P-44-Г;P-45-В;P-45-Г;P-46-В;P-46-Г;P-47-В;P-47-Г;P-48-В;P-48-Г;P-49-В;P-49-Г;P-50-В;P-50-Г;P-51-В;P-51-Г;P-52-В;P-52-Г;P-53-В;P-53-Г;P-54-В;P-54-Г;P-55-В;P-55-Г;P-56-В;P-56-Г;P-57-В;P-57-Г;P-58-В;P-58-Г;P-59-В;P-59-Г;P-60-В;P-60-Г
O-1-А;O-1-Б;O-2-А;O-2-Б;O-3-А;O-3-Б;O-4-А;O-4-Б;O-5-А;O-5-Б;O-6-А;O-6-Б;O-7-А;O-7-Б;O-8-А;O-8-Б;O-9-А;O-9-Б;O-10-А;O-10-Б;O-11-А;O-11-Б;O-12-А;O-12-Б;O-13-А;O-13-Б;O-14-А;O-14-Б;O-15-А;O-15-Б;O-16-А;O-16-Б;O-17-А;O-17-Б;O-18-А;O-18-Б;O-19-А;O-19-Б;O-20-А;O-20-Б;O-21-А;O-21-Б;O-22-А;O-22-Б;O-23-А;O-23-Б;O-24-А;O-24-Б;O-25-А;O-25-Б;O-26-А;O-26-Б;O-27-А;O-27-Б;O-28-А;O-28-Б;O-29-А;O-29-Б;O-30-А;O-30-Б;O-31-А;O-31-Б;O-32-А;O-32-Б;O-33-А;O-33-Б;O-34-А;O-34-Б;O-35-А;O-35-Б;O-36-А;O-36-Б;O-37-А;O-37-Б;O-38-А;O-38-Б;O-39-А;O-39-Б;O-40-А;O-40-Б;O-41-А;O-41-Б;O-42-А;O-42-Б;O-43-А;O-43-Б;O-44-А;O-44-Б;O-45-А;O-45-Б;O-46-А;O-46-Б;O-47-А;O-47-Б;O-48-А;O-48-Б;O-49-А;O-49-Б;O-50-А;O-50-Б;O-51-А;O-51-Б;O-52-А;O-52-Б;O-53-А;O-53-Б;O-54-А;O-54-Б;O-55-А;O-55-Б;O-56-А;O-56-Б;O-57-А;O-57-Б;O-58-А;O-58-Б;O-59-А;O-59-Б;O-60-А;O-60-Б
O-1-В;O-1-Г;O-2-В;O-2-Г;O-3-В;O-3-Г;O-4-В;O-4-Г;O-5-В;O-5-Г;O-6-В;O-6-Г;O-7-В;O-7-Г;O-8-В;O-8-Г;O-9-В;O-9-Г;O-10-В;O-10-Г;O-11-В;O-11-Г;O-12-В;O-12-Г;O-13-В;O-13-Г;O-14-В;O-14-Г;O-15-В;O-15-Г;O-16-В;O-16-Г;O-17-В;O-17-Г;O-18-В;O-18-Г;O-19-В;O-19-Г;O-20-В;O-20-Г;O-21-В;O-21-Г;O-22-В;O-22-Г;O-23-В;O-23-Г;O-24-В;O-24-Г;O-25-В;O-25-Г;O-26-В;O-26-Г;O-27-В;O-27-Г;O-28-В;O-28-Г;O-29-В;O-29-Г;O-30-В;O-30-Г;O-31-В;O-31-Г;O-32-В;O-32-Г;O-33-В;O-33-Г;O-34-В;O-34-Г;O-35-В;O-35-Г;O-36-В;O-36-Г;O-37-В;O-37-Г;O-38-В;O-38-Г;O-39-В;O-39-Г;O-40-В;O-40-Г;O-41-В;O-41-Г;O-42-В;O-42-Г;O-43-В;O-43-Г;O-44-В;O-44-Г;O-45-В;O-45-Г;O-46-В;O-46-Г;O-47-В;O-47-Г;O-48-В;O-48-Г;O-49-В;O-49-Г;O-50-В;O-50-Г;O-51-В;O-51-Г;O-52-В;O-52-Г;O-53-В;O-53-Г;O-54-В;O-54-Г;O-55-В;O-55-Г;O-56-В;O-56-Г;O-57-В;O-57-Г;O-58-В;O-58-Г;O-59-В;O-59-Г;O-60-В;O-60-Г
N-1-А;N-1-Б;N-2-А;N-2-Б;N-3-А;N-3-Б;N-4-А;N-4-Б;N-5-А;N-5-Б;N-6-А;N-6-Б;N-7-А;N-7-Б;N-8-А;N-8-Б;N-9-А;N-9-Б;N-10-А;N-10-Б;N-11-А;N-11-Б;N-12-А;N-12-Б;N-13-А;N-13-Б;N-14-А;N-14-Б;N-15-А;N-15-Б;N-16-А;N-16-Б;N-17-А;N-17-Б;N-18-А;N-18-Б;N-19-А;N-19-Б;N-20-А;N-20-Б;N-21-А;N-21-Б;N-22-А;N-22-Б;N-23-А;N-23-Б;N-24-А;N-24-Б;N-25-А;N-25-Б;N-26-А;N-26-Б;N-27-А;N-27-Б;N-28-А;N-28-Б;N-29-А;N-29-Б;N-30-А;N-30-Б;N-31-А;N-31-Б;N-32-А;N-32-Б;N-33-А;N-33-Б;N-34-А;N-34-Б;N-35-А;N-35-Б;N-36-А;N-36-Б;N-37-А;N-37-Б;N-38-А;N-38-Б;N-39-А;N-39-Б;N-40-А;N-40-Б;N-41-А;N-41-Б;N-42-А;N-42-Б;N-43-А;N-43-Б;N-44-А;N-44-Б;N-45-А;N-45-Б;N-46-А;N-46-Б;N-47-А;N-47-Б;N-48-А;N-48-Б;N-49-А;N-49-Б;N-50-А;N-50-Б;N-51-А;N-51-Б;N-52-А;N-52-Б;N-53-А;N-53-Б;N-54-А;N-54-Б;N-55-А;N-55-Б;N-56-А;N-56-Б;N-57-А;N-57-Б;N-58-А;N-58-Б;N-59-А;N-59-Б;N-60-А;N-60-Б
N-1-В;N-1-Г;N-2-В;N-2-Г;N-3-В;N-3-Г;N-4-В;N-4-Г;N-5-В;N-5-Г;N-6-В;N-6-Г;N-7-В;N-7-Г;N-8-В;N-8-Г;N-9-В;N-9-Г;N-10-В;N-10-Г;N-11-В;N-11-Г;N-12-В;N-12-Г;N-13-В;N-13-Г;N-14-В;N-14-Г;N-15-В;N-15-Г;N-16-В;N-16-Г;N-17-В;N-17-Г;N-18-В;N-18-Г;N-19-В;N-19-Г;N-20-В;N-20-Г;N-21-В;N-21-Г;N-22-В;N-22-Г;N-23-В;N-23-Г;N-24-В;N-24-Г;N-25-В;N-25-Г;N-26-В;N-26-Г;N-27-В;N-27-Г;N-28-В;N-28-Г;N-29-В;N-29-Г;N-30-В;N-30-Г;N-31-В;N-31-Г;N-32-В;N-32-Г;N-33-В;N-33-Г;N-34-В;N-34-Г;N-35-В;N-35-Г;N-36-В;N-36-Г;N-37-В;N-37-Г;N-38-В;N-38-Г;N-39-В;N-39-Г;N-40-В;N-40-Г;N-41-В;N-41-Г;N-42-В;N-42-Г;N-43-В;N-43-Г;N-44-В;N-44-Г;N-45-В;N-45-Г;N-46-В;N-46-Г;N-47-В;N-47-Г;N-48-В;N-48-Г;N-49-В;N-49-Г;N-50-В;N-50-Г;N-51-В;N-51-Г;N-52-В;N-52-Г;N-53-В;N-53-Г;N-54-В;N-54-Г;N-55-В;N-55-Г;N-56-В;N-56-Г;N-57-В;N-57-Г;N-58-В;N-58-Г;N-59-В;N-59-Г;N-60-В;N-60-Г
M-1-А;M-1-Б;M-2-А;M-2-Б;M-3-А;M-3-Б;M-4-А;M-4-Б;M-5-А;M-5-Б;M-6-А;M-6-Б;M-7-А;M-7-Б;M-8-А;M-8-Б;M-9-А;M-9-Б;M-10-А;M-10-Б;M-11-А;M-11-Б;M-12-А;M-12-Б;M-13-А;M-13-Б;M-14-А;M-14-Б;M-15-А;M-15-Б;M-16-А;M-16-Б;M-17-А;M-17-Б;M-18-А;M-18-Б;M-19-А;M-19-Б;M-20-А;M-20-Б;M-21-А;M-21-Б;M-22-А;M-22-Б;M-23-А;M-23-Б;M-24-А;M-24-Б;M-25-А;M-25-Б;M-26-А;M-26-Б;M-27-А;M-27-Б;M-28-А;M-28-Б;M-29-А;M-29-Б;M-30-А;M-30-Б;M-31-А;M-31-Б;M-32-А;M-32-Б;M-33-А;M-33-Б;M-34-А;M-34-Б;M-35-А;M-35-Б;M-36-А;M-36-Б;M-37-А;M-37-Б;M-38-А;M-38-Б;M-39-А;M-39-Б;M-40-А;M-40-Б;M-41-А;M-41-Б;M-42-А;M-42-Б;M-43-А;M-43-Б;M-44-А;M-44-Б;M-45-А;M-45-Б;M-46-А;M-46-Б;M-47-А;M-47-Б;M-48-А;M-48-Б;M-49-А;M-49-Б;M-50-А;M-50-Б;M-51-А;M-51-Б;M-52-А;M-52-Б;M-53-А;M-53-Б;M-54-А;M-54-Б;M-55-А;M-55-Б;M-56-А;M-56-Б;M-57-А;M-57-Б;M-58-А;M-58-Б;M-59-А;M-59-Б;M-60-А;M-60-Б
M-1-В;M-1-Г;M-2-В;M-2-Г;M-3-В;M-3-Г;M-4-В;M-4-Г;M-5-В;M-5-Г;M-6-В;M-6-Г;M-7-В;M-7-Г;M-8-В;M-8-Г;M-9-В;M-9-Г;M-10-В;M-10-Г;M-11-В;M-11-Г;M-12-В;M-12-Г;M-13-В;M-13-Г;M-14-В;M-14-Г;M-15-В;M-15-Г;M-16-В;M-16-Г;M-17-В;M-17-Г;M-18-В;M-18-Г;M-19-В;M-19-Г;M-20-В;M-20-Г;M-21-В;M-21-Г;M-22-В;M-22-Г;M-23-В;M-23-Г;M-24-В;M-24-Г;M-25-В;M-25-Г;M-26-В;M-26-Г;M-27-В;M-27-Г;M-28-В;M-28-Г;M-29-В;M-29-Г;M-30-В;M-30-Г;M-31-В;M-31-Г;M-32-В;M-32-Г;M-33-В;M-33-Г;M-34-В;M-34-Г;M-35-В;M-35-Г;M-36-В;M-36-Г;M-37-В;M-37-Г;M-38-В;M-38-Г;M-39-В;M-39-Г;M-40-В;M-40-Г;M-41-В;M-41-Г;M-42-В;M-42-Г;M-43-В;M-43-Г;M-44-В;M-44-Г;M-45-В;M-45-Г;M-46-В;M-46-Г;M-47-В;M-47-Г;M-48-В;M-48-Г;M-49-В;M-49-Г;M-50-В;M-50-Г;M-51-В;M-51-Г;M-52-В;M-52-Г;M-53-В;M-53-Г;M-54-В;M-54-Г;M-55-В;M-55-Г;M-56-В;M-56-Г;M-57-В;M-57-Г;M-58-В;M-58-Г;M-59-В;M-59-Г;M-60-В;M-60-Г
L-1-А;L-1-Б;L-2-А;L-2-Б;L-3-А;L-3-Б;L-4-А;L-4-Б;L-5-А;L-5-Б;L-6-А;L-6-Б;L-7-А;L-7-Б;L-8-А;L-8-Б;L-9-А;L-9-Б;L-10-А;L-10-Б;L-11-А;L-11-Б;L-12-А;L-12-Б;L-13-А;L-13-Б;L-14-А;L-14-Б;L-15-А;L-15-Б;L-16-А;L-16-Б;L-17-А;L-17-Б;L-18-А;L-18-Б;L-19-А;L-19-Б;L-20-А;L-20-Б;L-21-А;L-21-Б;L-22-А;L-22-Б;L-23-А;L-23-Б;L-24-А;L-24-Б;L-25-А;L-25-Б;L-26-А;L-26-Б;L-27-А;L-27-Б;L-28-А;L-28-Б;L-29-А;L-29-Б;L-30-А;L-30-Б;L-31-А;L-31-Б;L-32-А;L-32-Б;L-33-А;L-33-Б;L-34-А;L-34-Б;L-35-А;L-35-Б;L-36-А;L-36-Б;L-37-А;L-37-Б;L-38-А;L-38-Б;L-39-А;L-39-Б;L-40-А;L-40-Б;L-41-А;L-41-Б;L-42-А;L-42-Б;L-43-А;L-43-Б;L-44-А;L-44-Б;L-45-А;L-45-Б;L-46-А;L-46-Б;L-47-А;L-47-Б;L-48-А;L-48-Б;L-49-А;L-49-Б;L-50-А;L-50-Б;L-51-А;L-51-Б;L-52-А;L-52-Б;L-53-А;L-53-Б;L-54-А;L-54-Б;L-55-А;L-55-Б;L-56-А;L-56-Б;L-57-А;L-57-Б;L-58-А;L-58-Б;L-59-А;L-59-Б;L-60-А;L-60-Б
L-1-В;L-1-Г;L-2-В;L-2-Г;L-3-В;L-3-Г;L-4-В;L-4-Г;L-5-В;L-5-Г;L-6-В;L-6-Г;L-7-В;L-7-Г;L-8-В;L-8-Г;L-9-В;L-9-Г;L-10-В;L-10-Г;L-11-В;L-11-Г;L-12-В;L-12-Г;L-13-В;L-13-Г;L-14-В;L-14-Г;L-15-В;L-15-Г;L-16-В;L-16-Г;L-17-В;L-17-Г;L-18-В;L-18-Г;L-19-В;L-19-Г;L-20-В;L-20-Г;L-21-В;L-21-Г;L-22-В;L-22-Г;L-23-В;L-23-Г;L-24-В;L-24-Г;L-25-В;L-25-Г;L-26-В;L-26-Г;L-27-В;L-27-Г;L-28-В;L-28-Г;L-29-В;L-29-Г;L-30-В;L-30-Г;L-31-В;L-31-Г;L-32-В;L-32-Г;L-33-В;L-33-Г;L-34-В;L-34-Г;L-35-В;L-35-Г;L-36-В;L-36-Г;L-37-В;L-37-Г;L-38-В;L-38-Г;L-39-В;L-39-Г;L-40-В;L-40-Г;L-41-В;L-41-Г;L-42-В;L-42-Г;L-43-В;L-43-Г;L-44-В;L-44-Г;L-45-В;L-45-Г;L-46-В;L-46-Г;L-47-В;L-47-Г;L-48-В;L-48-Г;L-49-В;L-49-Г;L-50-В;L-50-Г;L-51-В;L-51-Г;L-52-В;L-52-Г;L-53-В;L-53-Г;L-54-В;L-54-Г;L-55-В;L-55-Г;L-56-В;L-56-Г;L-57-В;L-57-Г;L-58-В;L-58-Г;L-59-В;L-59-Г;L-60-В;L-60-Г
K-1-А;K-1-Б;K-2-А;K-2-Б;K-3-А;K-3-Б;K-4-А;K-4-Б;K-5-А;K-5-Б;K-6-А;K-6-Б;K-7-А;K-7-Б;K-8-А;K-8-Б;K-9-А;K-9-Б;K-10-А;K-10-Б;K-11-А;K-11-Б;K-12-А;K-12-Б;K-13-А;K-13-Б;K-14-А;K-14-Б;K-15-А;K-15-Б;K-16-А;K-16-Б;K-17-А;K-17-Б;K-18-А;K-18-Б;K-19-А;K-19-Б;K-20-А;K-20-Б;K-21-А;K-21-Б;K-22-А;K-22-Б;K-23-А;K-23-Б;K-24-А;K-24-Б;K-25-А;K-25-Б;K-26-А;K-26-Б;K-27-А;K-27-Б;K-28-А;K-28-Б;K-29-А;K-29-Б;K-30-А;K-30-Б;K-31-А;K-31-Б;K-32-А;K-32-Б;K-33-А;K-33-Б;K-34-А;K-34-Б;K-35-А;K-35-Б;K-36-А;K-36-Б;K-37-А;K-37-Б;K-38-А;K-38-Б;K-39-А;K-39-Б;K-40-А;K-40-Б;K-41-А;K-41-Б;K-42-А;K-42-Б;K-43-А;K-43-Б;K-44-А;K-44-Б;K-45-А;K-45-Б;K-46-А;K-46-Б;K-47-А;K-47-Б;K-48-А;K-48-Б;K-49-А;K-49-Б;K-50-А;K-50-Б;K-51-А;K-51-Б;K-52-А;K-52-Б;K-53-А;K-53-Б;K-54-А;K-54-Б;K-55-А;K-55-Б;K-56-А;K-56-Б;K-57-А;K-57-Б;K-58-А;K-58-Б;K-59-А;K-59-Б;K-60-А;K-60-Б
K-1-В;K-1-Г;K-2-В;K-2-Г;K-3-В;K-3-Г;K-4-В;K-4-Г;K-5-В;K-5-Г;K-6-В;K-6-Г;K-7-В;K-7-Г;K-8-В;K-8-Г;K-9-В;K-9-Г;K-10-В;K-10-Г;K-11-В;K-11-Г;K-12-В;K-12-Г;K-13-В;K-13-Г;K-14-В;K-14-Г;K-15-В;K-15-Г;K-16-В;K-16-Г;K-17-В;K-17-Г;K-18-В;K-18-Г;K-19-В;K-19-Г;K-20-В;K-20-Г;K-21-В;K-21-Г;K-22-В;K-22-Г;K-23-В;K-23-Г;K-24-В;K-24-Г;K-25-В;K-25-Г;K-26-В;K-26-Г;K-27-В;K-27-Г;K-28-В;K-28-Г;K-29-В;K-29-Г;K-30-В;K-30-Г;K-31-В;K-31-Г;K-32-В;K-32-Г;K-33-В;K-33-Г;K-34-В;K-34-Г;K-35-В;K-35-Г;K-36-В;K-36-Г;K-37-В;K-37-Г;K-38-В;K-38-Г;K-39-В;K-39-Г;K-40-В;K-40-Г;K-41-В;K-41-Г;K-42-В;K-42-Г;K-43-В;K-43-Г;K-44-В;K-44-Г;K-45-В;K-45-Г;K-46-В;K-46-Г;K-47-В;K-47-Г;K-48-В;K-48-Г;K-49-В;K-49-Г;K-50-В;K-50-Г;K-51-В;K-51-Г;K-52-В;K-52-Г;K-53-В;K-53-Г;K-54-В;K-54-Г;K-55-В;K-55-Г;K-56-В;K-56-Г;K-57-В;K-57-Г;K-58-В;K-58-Г;K-59-В;K-59-Г;K-60-В;K-60-Г
J-1-А;J-1-Б;J-2-А;J-2-Б;J-3-А;J-3-Б;J-4-А;J-4-Б;J-5-А;J-5-Б;J-6-А;J-6-Б;J-7-А;J-7-Б;J-8-А;J-8-Б;J-9-А;J-9-Б;J-10-А;J-10-Б;J-11-А;J-11-Б;J-12-А;J-12-Б;J-13-А;J-13-Б;J-14-А;J-14-Б;J-15-А;J-15-Б;J-16-А;J-16-Б;J-17-А;J-17-Б;J-18-А;J-18-Б;J-19-А;J-19-Б;J-20-А;J-20-Б;J-21-А;J-21-Б;J-22-А;J-22-Б;J-23-А;J-23-Б;J-24-А;J-24-Б;J-25-А;J-25-Б;J-26-А;J-26-Б;J-27-А;J-27-Б;J-28-А;J-28-Б;J-29-А;J-29-Б;J-30-А;J-30-Б;J-31-А;J-31-Б;J-32-А;J-32-Б;J-33-А;J-33-Б;J-34-А;J-34-Б;J-35-А;J-35-Б;J-36-А;J-36-Б;J-37-А;J-37-Б;J-38-А;J-38-Б;J-39-А;J-39-Б;J-40-А;J-40-Б;J-41-А;J-41-Б;J-42-А;J-42-Б;J-43-А;J-43-Б;J-44-А;J-44-Б;J-45-А;J-45-Б;J-46-А;J-46-Б;J-47-А;J-47-Б;J-48-А;J-48-Б;J-49-А;J-49-Б;J-50-А;J-50-Б;J-51-А;J-51-Б;J-52-А;J-52-Б;J-53-А;J-53-Б;J-54-А;J-54-Б;J-55-А;J-55-Б;J-56-А;J-56-Б;J-57-А;J-57-Б;J-58-А;J-58-Б;J-59-А;J-59-Б;J-60-А;J-60-Б
